#term	rank	
Agen*	1	w
agent	1	w
agency	1	w
action 	1	w
autonomous	1	w
up to	2	w
autonom*	1	w
environment 	1	w
task environment	1	w
physical world	2	w
simula*	2	w
dynam*	2	w
influenc* 	2	w
act*	1	w
action	1	w
acting	1	w
do	2	w
up to	2	w
purpos*	1	w
purpose	1	w
goal	1	w
task	2	w
policy	2	w
utility	1	w
utility function	2	w
history	1	w
memor*	1	w
individual history	1	w
individual 	1	w
subject	2	w
individual agent	1	w
adapt*	1	w
adaptive	1	w
change	2	w
influence	2	w
alter	2	w
adaptive repertoire	1	w
flexible	2	w
repertoire	1	w
behavior	2	w
function	2	w
ability	2	w
new goal	1	w
module*	3	w
modu*	3	w