#term	rank 	l or w 
agent	3	w
agency	3	w
autonomous	3	w
up to	3	w
autonomy	3	w
autonomously	3	w
semi-autonomous	1	w
(semi-)autonomous	1	w
semi-autonomy	1	w
full-autonomy	3	w
autonomata	3	w
self-autonomous	3	w
task environment	2	w
physical world	2	w
simulators	1	w
simulate	1	w
simulating	1	w
simulates	1	w
simulation	1	w
simulations	1	w
simulator	1	w
simulated	1	w
simulation-based	2	w
simulacra	1	w
simula	1	w
simulatable	1	w
self-simulated	3	w
microsimulation	1	w
dynamics	1	w
dynamic	1	w
dynamically	1	w
dynamical	1	w
dynamicaly	1	w
dynamics-based	1	w
influences operator	1	w
influence behavior	2	w
influences policy-gradient	1	w
influence memory	2	w
influencing factors	2	w
influences performance	2	w
influences actions	2	w
influence processing	1	w
influences converge	1	w
influencing action	2	w
influence-aware memory	1	w
influenced movement	2	w
influence factors	2	w
interact	1	w
action	3	w
actions	3	w
active	1	w
interactions	1	w
interaction	1	w
interacting	1	w
actor	3	w
acts	3	w
act	3	w
actuated	1	w
interacts	1	w
actuators	2	w
acting	3	w
actuation	1	w
interacted	1	w
action-specific	1	w
actively	1	w
activating	1	w
activated	1	w
activations	1	w
activity	1	w
interactive	1	w
acted	3	w
counterfactual	1	w
reactively	1	w
reactive	1	w
reactivity	1	w
activities	1	w
[int]eractive	1	w
activate	1	w
react	1	w
actors	3	w
activates	1	w
enact	1	w
reaction	1	w
action-space	3	w
reactiveness	1	w
reacts	1	w
actualize	1	w
active-prompt	1	w
actionable	1	w
actuator	2	w
subaction	1	w
reactions	1	w
interactively	1	w
counterfactuals	1	w
action-spaces	3	w
action-sequences	1	w
self-activating	3	w
self-activation	3	w
actuator-driven	2	w
counter-factual	1	w
autoact	2	w
action-set	1	w
interactants	1	w
action-clip	1	w
action-clips	1	w
chain-of-action	1	w
action-plannings	1	w
do	3	w
purposive	3	w
purposeful	3	w
purposefulness	3	w
purposefully	3	w
purpose-driven	3	w
purpose	3	w
goal	3	w
task	2	w
policy	2	w
utility	2	w
utility function	2	w
history	3	w
memory	3	w
memory-based	3	w
memorization	1	w
memorisation	1	w
memories	1	w
memorized	1	w
memory-augmented	1	w
memorize	1	w
memorizing	1	w
memorises	1	w
long-short-term-memory	1	w
memory-driven	3	w
processing-in-memory	1	w
memory-module	1	w
episodic-memory	1	w
memory-embedding	1	w
memory-transfer	1	w
memory-guided	1	w
memory-dependent	1	w
learning-to-memorize	1	w
memory-like	1	w
self-memory	3	w
memorizes	1	w
place-memory	1	w
memorizer	1	w
implanted-memory	1	w
memory-creator	1	w
short-term-memory	1	w
memory-augmentation	1	w
memory-incorporated	1	w
memory-equipped	1	w
subject	2	w
individual agent	3	w
adaptation	3	w
adaptive	3	w
adapting	3	w
adaptability	1	w
adapted	1	w
adapt	1	w
adaptivity	1	w
adaptively	1	w
adapts	1	w
self-adaptive	3	w
adaption	3	w
adaptions	1	w
adaptable	1	w
self-adaptation	3	w
selfadaptation	3	w
self-adaption	3	w
co-adaptation	1	w
co-adapting	1	w
context-adaptive	1	w
adaptations	1	w
self-adapting	3	w
self-adapt	3	w
change	1	w
influence	2	w
alter	1	w
flexible	3	w
repertoire	3	w
behavior	3	w
function	3	w
ability	1	w
new goal	3	w
module	3	w
modules	3	w
module(s)	1	w
submodule	2	w
sub-module	2	w
submodules	2	w
sub-modules	2	w
multimodule	2	w
modulation	1	w
modular	1	w
modulating	1	w
self-modulated	3	w
modulatory	1	w
complex agent system	3	w
agent system	3	w
embodied	3	w
embodied agent	3	w
embodied agents	3	w
individual	2	w
individual intelligence	2	w
learning	1	w
learn	1	w
learned	1	w
learns	1	w
meta-learn	1	w
learnt	1	w
learnable	1	w
transfer-learning	1	w
learning-from-experience	1	w
self-learning	3	w
exploration-learning	3	w
action-learning	3	w
self-learn	3	w
deep-learning	1	w
skill-learning	3	w
self-learnable	3	w
curriculum-learning	1	w
policy-learning	1	w
open-learning	3	w
previously-learned	2	w
single-agent	3	w
prior knowledge	2	w
flexibility	1	w
flexibly	1	w
flexibilty	1	w
planning	2	w
planner	2	w
plans	2	w
plan	2	w
self-explanation	3	w
planners	1	w
plan-generating	1	w
planned	1	w
sub-plans	1	w
planning-based	1	w
planning-adaptive	3	w
self-planning	3	w
implanted-memory	3	w
reflect	1	w
self-reflection	3	w
self-reflective	3	w
self-reflects	3	w
selfreflection	3	w
reflective	1	w
self-reflections	3	w
utilized	1	w
utilizing	1	w
utilize	1	w
utility	3	w
utilities	1	w
utilise	1	w
utilizes	1	w
utilising	1	w
utilization	1	w
utility-maximization	3	w
utility-based	3	w
utilised	1	w
utilises	1	w
utility-maximizing	3	w
utility-driven	3	w
dynamics of the environment	3	w
world	2	w
dynamic alignment	1	w
reflex	1	w
reflexive	1	w
self-reflexive	2	w
reflexes	1	w
open-ended	3	w
local autonomy	2	w
multi-modal knowledge	2	w
open-ended environment	3	w
embodied multimodal model	3	w
physical actions	3	w
embodied action	3	w
embodied actions	3	w
llm-based multi-agent	2	w
new tasks	3	w
autonomous agents	3	w
sandbox	3	w
execution	1	w
execute	1	w
executable	1	w
executed	1	w
executes	1	w
executing	1	w
self-executed	3	w
action-execution	1	w
long-term	3	w
adaptive planning	3	w
factors into	3	w
influences	1	w
environment 	3	w